Siruta,localitate,Procent participare
151834,Poroschia,47.21383475157837
90342,Orastioara De Sus,47.200878155872665
152564,Contesti,47.18202589489718
110740,Breznita-Motru,47.16636197440585
101617,Buturugeni,47.15108834827144
31921,Uileacu De Beius,47.125748502994014
57163,Ciucea,47.1183800623053
76139,Cuca,47.05221785513756
31333,Simian,47.04336399474376
19212,Teiu,47.03668861712136
129718,Vadastra,47.033158813263526
153972,Saceni,47.02581369248036
77561,Radesti,46.94589877835951
90538,Pui,46.905725853094275
118511,Neaua,46.863117870722434
103194,Gaujani,46.85314685314685
133866,Jugureni,46.81933842239186
160476,Hamcearca,46.78638941398866
84558,Joseni,46.72738826519805
104136,Oras Mihailesti,46.67330346772855
80043,Danciulesti,46.666666666666664
76497,Gohor,46.66424945612763
82396,Telesti,46.65500655881067
129184,Studina,46.645512239347234
72221,Dranic,46.62833246210141
126326,Corbu,46.572104018912526
74411,Teslui,46.554621848739494
107430,Boiu Mare,46.54811715481171
53247,Maureni,46.53776978417266
100282,Costesti,46.46892655367232
142550,Salatig,46.46788990825688
111275,Corcova,46.432286249219885
128962,Spineni,46.3489623366641
111417,Corlatel,46.34858812074002
32161,Paleu,46.319702602230485
51984,Ciuchici,46.31578947368421
33952,Monor,46.309963099631
153437,Necsesti,46.27218934911242
173748,Stefanesti,46.251441753171854
51332,Bautar,46.228710462287104
177762,Soveja,46.20573355817875
94768,Vlad Tepes,46.191950464396285
28709,Campani,46.17737003058104
72640,Goicea,46.17706237424547
155261,Dumbravita,46.166881859264045
85056,Meresti,46.125461254612546
154790,Troianul,46.09960334949317
85680,Sancraieni,46.09227871939736
88546,Branisca,46.09084139985108
154736,Traian,46.0832745236415
145220,Pauca,46.0702875399361
60883,Adamclisi,46.02209944751381
10051,Barsa,46.013513513513516
84415,Frumoasa,46.011443958263214
86487,Porumbeni,45.99574769666903
167286,Dodesti,45.97014925373134
32195,Gepiu,45.951156812339335
74073,Scaesti,45.93446601941748
52062,Copacele,45.928338762214985
114970,Acatari,45.88986432561852
117505,Hodosa,45.87525150905432
54163,Sopotu Nou,45.85253456221198
52570,Dalboset,45.84920030464585
6468,Posaga,45.80873671782763
140627,Crasna,45.803996194100854
126433,Curtisoara,45.7617728531856
11307,Ignesti,45.75389948006932
53639,Ramna,45.749613601236476
133919,Lapos,45.74944071588367
153561,Piatra,45.715440582053354
74242,Sopot,45.693950177935946
2309,Almasu Mare,45.683802133850634
76638,Jorasti,45.657015590200444
57948,Garbau,45.65677966101695
65752,Petresti,45.635093845482324
58918,Petrestii De Jos,45.596258768511305
75686,Baneasa,45.57416267942584
71340,Bulzesti,45.56159420289855
66526,Candesti,45.55798687089715
45753,Calvini,45.55555555555556
44989,Balaceanu,45.50517104216388
49484,Siriu,45.44018949861824
10104,Barzava,45.42801556420233
54537,Vermes,45.42586750788644
9019,Cut,45.394112060778724
15554,Ciomagesti,45.34090909090909
152234,Bragadiru,45.31761624099541
53853,Sichevita,45.246277205040094
66223,Barbuletu,45.206243032329986
81415,Prigoria,45.18174133558749
12288,Silindia,45.175438596491226
171806,Olanu,45.15728476821192
80506,Hurezani,45.14637904468413
129914,Vitomiresti,45.13618677042802
126022,Brancoveni,45.135640785781106
125490,Draghiceni,45.114754098360656
74581,Valea Stanciului,45.094339622641506
12126,Socodor,45.02446982055465
79656,Ciuperceni,44.965411222136815
34618,Sant,44.95720133978415
153936,Salcia,44.937655860349125
94651,Unirea,44.93449781659389
152314,Bujoru,44.91349480968858
77082,Rediu,44.88734835355286
115771,Bichis,44.87577639751553
78016,Dragutesti,44.8421052631579
140869,Cuzaplac,44.83030781373323
140958,Dobrin,44.82501861504095
68627,Oras Racari,44.80402010050251
154139,Seaca,44.76744186046512
169547,Dragoesti,44.76600985221675
10532,Craiva,44.73913043478261
107234,Bicaz,44.72681067344346
80123,Danesti,44.668319900805955
43992,Silistea,44.61960246744346
149753,Paltinoasa,44.58638743455497
152332,Buzescu,44.54756380510441
142284,Pericei,44.52943132690389
56568,Capusu Mare,44.5226917057903
127064,Ganeasa,44.52008168822328
81184,Pestisani,44.50410612760581
130366,Sarbii - Magura,44.437299035369776
68128,Mogosani,44.41609977324263
133429,Gherghita,44.35537742150969
179971,Colelia,44.201312910284464
75338,Oras Beresti,44.1967717140661
12402,Sistarovat,44.178082191780824
56096,Bobalna,44.17562724014337
51840,Carbunari,44.1741357234315
174021,Vaideeni,44.16640600563028
93664,Gradistea,44.16435593647593
170097,Ghioroiu,44.15807560137457
90119,Lunca Cernii De Jos,44.141689373297005
14352,Beleti-Negresti,44.13746630727763
84264,Dealu,44.118564742589705
12509,Tarnova,44.105070250458155
83197,Feliceni,44.015719899964274
51387,Berliste,44.0084835630965
47337,Magura,43.99531341534856
60099,Vultureni,43.9893143365984
90208,Luncoiu De Jos,43.98395721925134
175368,Bolotesti,43.982323888744475
101564,Butimanu,43.97394136807818
171021,Malaia,43.97306397306397
8425,Vidra,43.90243902439025
37850,Leorda,43.87424872861766
85243,Ocland,43.87031408308004
10649,Dezna,43.86138613861386
151451,Ciocanesti,43.845534995977474
68280,Nucet,43.827338129496404
11058,Halmagiu,43.78378378378378
74509,Tuglui,43.75767498976668
61951,Ion Corvin,43.72574385510996
104118,Mihai Bravu,43.723175965665234
118094,Magherani,43.69114877589454
50415,Zarnesti,43.681592039801
156927,Fardea,43.67317425885756
86366,Zetea,43.671940049958366
178910,Paulesti,43.61904761904762
177101,Paltin,43.60950545921644
175509,Chiojdeni,43.552850027670175
85074,Mihaileni,43.529411764705884
10293,Buteni,43.51479722323712
84656,Lunca De Jos,43.51073762838469
157834,Mosnita Noua,43.501158626500946
1455,Oras Campeni,43.4881087202718
82136,Stanesti,43.47826086956522
27070,Abram,43.45852249277755
79406,Bustuchin,43.44415390362346
140672,Creaca,43.435251798561154
179917,Rau Alb,43.430034129692835
127288,Iancu Jianu,43.39783722253842
160047,Ceatalchioi,43.373493975903614
2130,Albac,43.35154826958106
156106,Boldur,43.3502538071066
105874,Varasti,43.34901625320787
179622,Grosii Tiblesului,43.31770222743259
139054,Terebesti,43.30110497237569
21098,Ardeoani,43.28739152628892
82733,Urdari,43.26434986333464
60570,Agigea,43.24437030859049
169351,Daesti,43.2368107893693
154996,Nenciulesti,43.202099737532805
152467,Calmatuiu De Sus,43.18734793187348
27757,Brusturi,43.17617866004963
127536,Mihaesti,43.164230438521066
29341,Dragesti,43.16012725344645
62823,Saraiu,43.14671814671814
86883,Ghelari,43.146327356853675
152083,Blejesti,43.12938816449348
15830,Corbi,43.127250900360146
137675,Dorolt,43.12599681020733
128178,Parscoveni,43.10695404636031
74705,Verbita,43.09664694280079
74842,Catane,43.08243727598566
64005,Brates,43.07692307692308
141580,Ileanda,43.06849315068493
93441,Dorobantu,43.06177260519248
58464,Margau,43.05882352941177
153240,Magura,43.02325581395349
14753,Bradulet,42.964996568291006
104831,Roata De Jos,42.94126762746009
128711,Oras Scornicesti,42.929858495368016
29519,Hidiselu De Sus,42.91217257318952
110535,Balacita,42.90413533834587
123969,Razboieni,42.89906103286385
68565,Pucheni,42.895989123045545
12912,Dorobanti,42.857142857142854
4981,Intregalde,42.857142857142854
29573,Holod,42.82208588957055
140379,Buciumi,42.82051282051282
145471,Sadu,42.80999528524281
71607,Calarasi,42.78555021925246
50564,Florica,42.76061776061776
86479,Leliceni,42.744656917885266
142881,Sarmasag,42.71844660194175
151576,Berchisesti,42.71725826193391
13935,Albota,42.672540381791485
116545,Deda,42.65243902439025
107975,Desesti,42.646310432569976
179481,Oras Otopeni,42.63681255496178
62609,Pantelimon,42.604387827317765
141027,Dragu,42.60289210233593
80766,Logresti,42.599620493358636
25692,Tamasi,42.59708737864078
10417,Chisindia,42.56951102588687
84086,Ciumani,42.558459422283356
74732,Vartop,42.5531914893617
22237,Dealu Morii,42.527109853842525
129380,Teslui,42.51439539347409
7945,Spring,42.51350024545901
64826,Sanzieni,42.50136836343733
