Siruta,Localitate,Categorie dominanta
21196,Balcani,Barbati_45-64
21249,Beresti-Bistrita,Barbati_45-64
21338,Beresti-Tazlau,Barbati_45-64
21418,Berzunti,Barbati_45-64
21454,Barsanesti,Barbati_45-64
21506,Blagesti,Barbati_45-64
21560,Bogdanesti,Barbati_45-64
21597,Brusturoasa,Barbati_45-64
21668,Buhoci,Barbati_45-64
21720,Casin,Barbati_45-64
21757,Caiuti,Barbati_45-64
21855,Cleja,Barbati_45-64
21891,Colonesti,Barbati_45-64
21971,Corbasca,Barbati_45-64
22059,Cotofanesti,Barbati_45-64
22111,Damienesti,Barbati_45-64
22166,Oras Darmanesti,Femei_45-64
22237,Dealu Morii,Barbati_45-64
22380,Dofteana,Barbati_45-64
22460,Faraoani,Femei_45-64
22488,Filipeni,Barbati_45-64
22576,Filipesti,Barbati_45-64
22665,Gaiceana,Barbati_45-64
22718,Ghimes-Faget,Barbati_45-64
22781,Garleni,Femei_45-64
22834,Glavanesti,Barbati_45-64
22898,Helegiu,Barbati_45-64
22941,Horgesti,Barbati_45-64
23047,Huruiesti,Barbati_45-64
23127,Izvoru Berheciului,Barbati_45-64
23207,Lipova,Barbati_45-64
23289,Livezi,Barbati_45-64
23350,Luizi-Calugara,Barbati_45-64
23387,Magiresti,Barbati_45-64
23449,Manastirea Casin,Barbati_45-64
23494,Motoseni,Barbati_45-64
23644,Negri,Barbati_45-64
23715,Nicolae Balcescu,Barbati_45-64
23797,Oituz,Barbati_45-64
23868,Oncesti,Barbati_45-64
23948,Orbeni,Barbati_45-64
23975,Palanca,Barbati_45-64
24034,Parava,Barbati_45-64
24089,Parincea,Barbati_45-64
24187,Pancesti,Barbati_45-64
24276,Pargaresti,Barbati_45-64
24338,Parjol,Barbati_45-64
24427,Plopana,Barbati_45-64
24524,Podu Turcului,Barbati_45-64
24631,Poduri,Barbati_45-64
24711,Racova,Barbati_45-64
24766,Racaciuni,Barbati_45-64
24837,Rachitoasa,Barbati_45-64
24999,Rosiori,Barbati_45-64
25068,Sascut,Barbati_45-64
25148,Sanduleni,Barbati_45-64
25228,Saucesti,Barbati_45-64
25291,Scorteni,Barbati_45-64
25362,Secuieni,Barbati_45-64
25488,Solont,Barbati_45-64
25521,Stanisesti,Barbati_45-64
25629,Strugari,Barbati_45-64
25692,Tamasi,Barbati_45-64
25745,Tatarasti,Barbati_45-64
25825,Targu Trotus,Barbati_45-64
