Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
hr,5.591262377514725,5.553072468694867,5.467774956120321,5.422359111657457,5.297105728247864,5.585201839769382,5.549212087985894,5.446788409149407,5.32247211181604,5.240876053853373
if,5.042189980457528,4.822256129851473,4.873785333581704,5.013588268986875,5.020500084253102,5.012777240963105,4.7497840826987066,4.843954854794494,4.963827580046102,4.973767154111796
il,5.340383781699351,5.317223298974036,5.052742361028214,5.094212086768644,5.133511790298037,5.2069145022037455,5.236340994942256,5.098056860453816,4.824542975892866,5.191680393917492
is,4.71982636452282,4.334722224155241,4.387368380581096,4.96454921846402,4.643861355618545,4.5102266683862915,4.210685348303615,4.3478381636784365,4.492490281343418,4.383548754007319
mh,5.133806160455212,5.207905773969146,5.114336515755101,5.11197484347137,5.272762500469888,5.141033432085634,5.151709581299595,5.009315394784578,4.912390060964445,5.346237960764922
mm,5.209987530068863,5.097230278812009,5.037429092628435,5.019790216285624,5.133534603799111,5.209065524464922,5.069357776480314,4.987641914443609,4.853268363131298,4.984939589404218
ms,5.490005133256204,5.357706154038209,5.179019509410242,5.252759213842445,5.025838287110883,5.441546463686005,5.265546568614104,5.193950728566756,4.978384124160158,4.910421457224873
nt,5.637268576647763,5.488360039851183,5.298741835750863,5.457876690446709,5.2784277820259184,5.640152051191372,5.4208989160844085,5.2872438920813245,5.172851001244393,5.212395336716404
ot,6.062656636566657,6.08909494110295,5.883257182826742,6.098769661969753,6.343657758935324,5.97338136054306,5.960241526183017,5.76253020757245,5.874541466281637,6.359207413367374
ph,5.553960980905143,5.508927341267421,5.251931089292813,5.36327110093244,5.241093752304524,5.515043899446121,5.390947154805204,5.2405683720673615,5.150659744567395,5.086482615774528
sb,4.330517863388019,3.939684277047005,3.66002934042512,3.992942231176758,3.85141598458656,4.214564202123485,3.726819158661062,3.6229550908691825,3.7899533726941588,3.6971145752571575
sj,5.1583787529856355,5.034667012234275,4.929678315725852,4.986023970998543,5.227162219570871,5.081276818664557,4.992461167188477,4.8797937587326485,4.819086512580171,5.359966677545369
sm,5.01310814200956,4.960786873392262,4.773721500611058,4.711908121809871,4.576309831357578,5.114671226869368,4.970141990202404,4.737723810749802,4.55239622503299,4.545817067951284
sv,6.162723922020717,6.083102119556567,5.945881892692275,6.079407839290285,6.090710890564724,6.209211155611584,6.0340800225904045,5.9524818520651515,5.884349737250254,5.948299164413044
tl,4.368893280958013,4.339590878038077,4.2037692177307555,4.328880771233279,4.399197605550383,4.328178581630463,4.332771470203976,4.107380270339142,3.983530972800386,4.241922610476924
tm,4.824926136747291,4.266310858788061,4.187367853780523,4.5583548959065725,4.534351754620614,4.749486580114519,4.109425016729287,4.02986434038982,4.266035767300654,4.301222159932077
tr,6.117569787142374,6.212222592115992,6.015510865126113,6.066477635063848,6.185820246589621,6.091004928285759,6.168628113808203,5.942401172663836,5.884752950716097,6.236907821261396
vl,5.555127388323118,5.497254112700345,5.283010213151395,5.499247200664467,5.691009025736825,5.548175971267743,5.4166012786683995,5.231216358585264,5.2389129222933715,5.624210788314143
vn,5.379422020092769,5.334812983201733,5.091991727162336,5.289805668016969,5.369470923206372,5.323193921465288,5.327153224459066,5.09156638907829,5.046606454558731,5.362527843182301
vs,5.568762864509738,5.485581864509444,5.335427785012498,5.41719508894909,5.399256585482576,5.520862957986061,5.414031042819066,5.299727592633757,4.993834457814224,5.374768532674246
