Code,City,County
35839,Rachiti,bt
35884,Stauceni,bt
35946,Oras Darabani,bt
36006,Municipiul Dorohoi,bt
36060,Oras Saveni,bt
36131,Albesti,bt
36202,Avrameni,bt
36300,Baluseni,bt
36373,Braesti,bt
36426,Broscauti,bt
36453,Oras Bucecea,bt
36499,Calarasi,bt
36532,Concesti,bt
36569,Copalau,bt
36649,Cordareni,bt
36676,Corlateni,bt
36756,Corni,bt
36809,Cotusca,bt
36907,Cristesti,bt
36952,Cristinesti,bt
37011,Dersca,bt
37057,Dangeni,bt
37100,Dobarceni,bt
37173,Draguseni,bt
37217,Durnesti,bt
37280,Oras Flamanzi,bt
37324,Frumusica,bt
37397,George Enescu,bt
37459,Gorbanesti,bt
37547,Havarna,bt
37618,Hanesti,bt
37672,Hiliseu-Horia,bt
37734,Hlipiceni,bt
37770,Hudesti,bt
37823,Ibanesti,bt
37850,Leorda,bt
37912,Lunca,bt
37958,Manoleasa,bt
38063,Mihai Eminescu,bt
38161,Mihaileni,bt
38241,Mihalaseni,bt
38321,Mileanca,bt
38376,Mitoc,bt
38456,Nicseni,bt
38492,Paltinis,bt
38544,Pomarla,bt
38580,Prajeni,bt
38633,Radauti-Prut,bt
38679,Rauseni,bt
38731,Ripiceni,bt
38811,Roma,bt
38848,Romanesti,bt
38893,Santa Mare,bt
38982,Suharau,bt
39051,Sulita,bt
39122,Sendriceni,bt
39168,Oras Stefanesti,bt
39220,Stiubieni,bt
39266,Todireni,bt
39328,Trusesti,bt
39391,Tudora,bt
39417,Ungureni,bt
39532,Unteni,bt
39612,Vaculesti,bt
39658,Viisoara,bt
39694,Varfu Campului,bt
39738,Vladeni,bt
39792,Vlasinesti,bt
39836,Vorniceni,bt
39872,Vorona,bt
39942,Lozna,bt
39959,Dimacheni,bt
39967,Candesti,bt
39975,Cosula,bt
39983,Blandesti,bt
40035,Adaseni,bt
40198,Municipiul Brasov,bv
40214,Oras Ghimbav,bv
40241,Municipiul Codlea,bv
40278,Municipiul Fagaras,bv
40303,Oras Predeal,bv
40367,Oras Rasnov,bv
40394,Oras Rupea,bv
40438,Municipiul Sacele,bv
40465,Oras Victoria,bv
40492,Oras Zarnesti,bv
40526,Apata,bv
40544,Beclean,bv
40606,Bod,bv
40633,Bran,bv
40688,Budila,bv
40704,Bunesti,bv
40768,Cata,bv
40820,Cincu,bv
40857,Comana,bv
40900,Cristian,bv
40928,Dumbravita,bv
40955,Feldioara,bv
40991,Fundata,bv
41033,Halchiu,bv
41088,Harman,bv
41113,Harseni,bv
41177,Hoghiz,bv
41248,Homorod,bv
41284,Jibert,bv
41346,Lisa,bv
41382,Maierus,bv
41417,Mandra,bv
41471,Moieciu,bv
41541,Ormenis,bv
41578,Parau,bv
41621,Poiana Marului,bv
41667,Prejmer,bv
41701,Racos,bv
41738,Recea,bv
41818,Sercaia,bv
41854,Sinca,bv
41925,Sanpetru,bv
41943,Soars,bv
42003,Tarlungeni,bv
42058,Teliu,bv
42076,Ticusu,bv
42101,Ucea,bv
42156,Ungra,bv
42183,Vama Buzaului,bv
42236,Vistea,bv
42307,Voila,bv
42398,Vulcan,bv
42449,Sinca Noua,bv
42456,Crizbav,bv
42464,Sambata De Sus,bv
42472,Holbav,bv
42480,Dragus,bv
42498,Augustin,bv
42682,Municipiul Braila,br
42708,Chiscani,br
42753,Oras Faurei,br
42771,Surdila-Greci,br
42824,Baraganul,br
42842,Bertestii De Jos,br
42913,Bordei Verde,br
42968,Ciocile,br
43019,Ciresu,br
43073,Dudesti,br
43117,Frecatei,br
43180,Galbenu,br
43242,Gemenele,br
43279,Gradistea,br
43313,Gropeni,br
43331,Oras Ianca,br
43411,Oras Insuratei,br
43466,Jirlau,br
43493,Marasu,br
43563,Maxineni,br
43625,Mircea Voda,br
43652,Movila Miresii,br
43698,Racovita,br
43732,Ramnicelu,br
43787,Romanu,br
43812,Rosiori,br
43867,Salcia Tudor,br
43929,Scortaru Nou,br
43992,Silistea,br
44060,Stancuta,br
44113,Surdila-Gaiseanca,br
44140,Sutesti,br
44177,Tichilesti,br
44202,Traian,br
44257,Tudor Vladimirescu,br
44300,Tufesti,br
44328,Ulmu,br
