Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
115147,Alunis,0.0,0.0,0.0,0.0,0.0,0.0
131540,Oras Sinaia,1973.0,0.0,0.0,0.0,0.0,0.0
98774,Ruginoasa,2440224.0,0.0,0.0,0.0,686531.0,0.0
66009,Branesti,0.0,0.0,0.0,0.0,0.0,0.0
49625,Stalpu,5952130.0,0.0,0.0,3809540.0,0.0,157258.0
82396,Telesti,0.0,0.0,0.0,0.0,0.0,0.0
139740,Oras Cehu Silvaniei,772812.0,0.0,0.0,1.9018722E7,91206.0,0.0
172509,Racovita,0.0,0.0,0.0,0.0,0.0,0.0
33248,Feldru,0.0,0.0,0.0,0.0,8873.0,0.0
106979,Oras Viseu De Sus,0.0,0.0,0.0,613.0,0.0,0.0
147937,Darmanesti,0.0,0.0,0.0,0.0,0.0,0.0
57831,Geaca,0.0,0.0,0.0,0.0,0.0,0.0
123371,Pastraveni,0.0,0.0,0.0,468257.0,0.0,0.0
49643,Tisau,0.0,313671.0,196404.0,1786.0,0.0,0.0
25068,Sascut,1.3489731E7,0.0,0.0,0.0,0.0,262097.0
115183,Apold,0.0,517631.0,0.0,0.0,113583.0,0.0
74224,Silistea Crucii,261074.0,0.0,0.0,0.0,2861677.0,0.0
164339,Iana,0.0,0.0,0.0,0.0,0.0,0.0
156151,Brestovat,980070.0,0.0,0.0,0.0,3200.0,0.0
107001,Ardusat,0.0,0.0,0.0,1.4823455E7,785871.0,0.0
33275,Galatii Bistritei,0.0,232568.0,0.0,0.0,0.0,18002.0
131577,Oras Slanic,26700.0,0.0,0.0,0.0,1079453.0,0.0
41471,Moieciu,0.0,0.0,0.0,0.0,0.0,0.0
82430,Oras Tismana,0.0,0.0,0.0,0.0,0.0,20890.0
74242,Sopot,2390958.0,0.0,0.0,0.0,0.0,0.0
98827,Schitu Duca,0.0,0.0,0.0,0.0,0.0,0.0
16908,Leresti,0.0,0.0,0.0,0.0,0.0,86592.0
66081,Oras Titu,578072.0,0.0,0.0,63278.0,0.0,0.0
123424,Petricani,0.0,0.0,0.0,13211.0,170666.0,184684.0
139811,Oras Jibou,126186.0,10532.0,2800.0,38024.0,353766.0,0.0
148006,Oras Dolhasca,0.0,0.0,0.0,0.0,255452.0,0.0
115236,Atintis,0.0,0.0,0.0,911494.0,0.0,0.0
