Siruta,Localitate,CA_capita
74554,Urzicuta,606.1689078386356
156473,Costeiu,233.4287933713102
123709,Poienari,0.0
115520,Batos,1929.2896405919662
9026,Bucerdea Granoasa,126.55153782211138
33603,Lunca Ilvei,1.1042852861851964
148293,Dornesti,703.6095041322315
164687,Lipovat,11623.465005931199
74581,Valea Stanciului,753.1466103251884
33621,Maieru,8.719852034525278
107350,Bocicoiu Mare,0.0
41818,Sercaia,22980.58686730506
82779,Vagiulesti,0.0
58204,Izvoru Crisului,0.0
99165,Stolniceni-Prajescu,176.0517335269559
172894,Salatrucel,0.0
131933,Albesti-Paleologu,9868.597563160723
66401,Bilciuresti,1237.9951272333515
17254,Mihaesti,4.610512569376429
50022,Valea Ramnicului,260.9940151381799
148328,Dragoiesti,289.46938775510205
140146,Balan,1554.116013495977
90994,Romos,3293.162340036563
156534,Criciova,0.0
115575,Bagaciu,228.92612543285878
74616,Vela,351.4599246906939
33658,Matei,0.0
41854,Sinca,0.4909983633387889
66438,Buciumeni,0.0
99209,Strunga,3101.3090582153295
107403,Bogdan Voda,0.0
82831,Vladimir,0.0
123790,Poiana Teiului,262.82829504232166
164749,Lunca Banului,3338.6420545746387
25488,Solont,754.5122282608696
115600,Bala,0.0
172947,Scundu,1.09375
58259,Jucu,305.22181060430654
50068,Valea Salciei,0.0
131988,Alunis,0.0
148382,Draguseni,0.0
107430,Boiu Mare,0.0
132011,Apostolache,791.1756885090218
66474,Bucsani,308.60031732294823
91054,Sarmizegetusa,0.0
156589,Curtea,0.0
25521,Stanisesti,262.05964172813486
140208,Banisor,0.0
115637,Balauseri,100.60221531286436
17334,Mioarele,0.0
50102,Vernesti,413.94550049445115
33729,Magura Ilvei,0.0
172992,Sinesti,0.0
41925,Sanpetru,6.282242666203784
58311,Luna,118.26946874333262
148426,Dumbraveni,1511.9019465727895
156623,Darova,16.660789001793187
82895,Oras Rovinari,0.0
74705,Verbita,0.0
140244,Benesat,17.887182910547395
41943,Soars,91.98699489084997
99290,Scheia,551.2149227110583
107485,Botiza,0.0
66526,Candesti,0.0
164829,Malusteni,0.0
33765,Mariselu,0.0
148453,Fantanele,62.81128119102537
132075,Aricestii Rahtivani,1156.718626968504
74732,Vartop,5274.783704572098
91116,Salasu De Sus,13.003901170351105
58357,Maguri-Racatau,0.0
17398,Mirosi,354.16342905405406
1017,Municipiul Alba Iulia,1326.6293095324636
140280,Bobota,741.3606803401701
115708,Beica De Jos,444.25652565256524
107519,Budesti,0.0
74750,Varvoru De Jos,284.569455406472
156669,Denta,3244.6732046820625
173061,Slatioara,3.5449970396684427
123914,Raucesti,952.1629853522437
17423,Moraresti,0.0
42003,Tarlungeni,1080.1688716790363
66580,Cobia,0.0
58393,Manastireni,0.0
107546,Calinesti,5.218354430379747
25629,Strugari,0.0
164892,Miclesti,0.0
148514,Forasti,0.0
140324,Bocsa,650.018411967779
156712,Dudestii Vechi,13342.841402714932
99370,Sipote,0.0
132137,Aricestii Zeletin,0.0
9262,Municipiul Arad,911.2549747425413
1071,Ciugud,149.4307743881998
50228,Vintila Voda,0.0
33845,Micestii De Campie,72.31657848324515
115771,Bichis,920.9675174013921
107582,Cernesti,239.90574775265594
9280,Fantanele,746.8345905172414
123969,Razboieni,190.53017802865827
132164,Baba Ana,35158.77501808536
42058,Teliu,33.97958725886048
164936,Muntenii De Jos,1094.308682424526
173132,Stanesti,0.0
17496,Mosoaia,710.1453844806446
33881,Milas,284.94314641744546
140379,Buciumi,49.56420084323496
74842,Catane,968.0904068307383
25692,Tamasi,17.41373750403096
42076,Ticusu,0.0
156767,Dumbrava,826.9132781576106
58464,Margau,0.0
91232,Santamaria-Orlea,145.3428303068253
74859,Carcea,4434.820546163849
99441,Tansa,0.0
115824,Bogata,96.6890843248836
74867,Carna,0.0
9333,Livada,1276.6421991940126
42101,Ucea,4715.034322033898
164981,Oras Murgeni,1710.088827286971
74875,Cotofenii Din Fata,110.68813387423936
124028,Rediu,0.7270553614125437
1151,Oras Abrud,15.61454743333938
132226,Balta Doamnei,3435.9176765566235
74883,Dobrotesti,0.0
156801,Oras Faget,199.7962547804299
148612,Oras Frasin,25.368801808590806
66697,Cojasca,449.1652667691944
74891,Galiciuica,14.619047619047619
115851,Breaza,861.614562722596
107662,Cicarlau,0.0
9360,Sofronea,365.4318429661941
25745,Tatarasti,0.0
50326,Viperesti,0.0
99478,Tatarusi,0.0
74907,Ghidici,1371.0904920767307
140440,Camar,4080.354876615746
33952,Monor,9499.235749472202
74915,Ghindeni,81.18302094818081
58534,Marisel,0.0
17575,Mozaceni,62.72735760971055
124073,Romani,596.9433348815606
66731,Comisani,465.30568948891033
74923,Intorsura,0.0
42156,Ungra,0.0
173230,Stoenesti,0.0
132271,Baltesti,7.169173924518343
74931,Plesoi,0.0
9397,Vladimirescu,3140.3788322292403
58552,Mintiu Gherlii,0.0
115897,Brancovenesti,0.0
148667,Fratautii Noi,11.706372132540357
83133,Municipiul Odorheiu Secuiesc,38.10655610261726
1213,Municipiul Aiud,417.2392659016643
140477,Carastelec,3954.003770028275
107715,Campulung La Tisa,0.0
91330,Soimus,0.0
74949,Rojiste,264.6267922982384
33989,Nimigea,0.0
42183,Vama Buzaului,0.0
74956,Talpas,0.0
83151,Bradesti,0.0
165069,Oltenesti,225.3999262808699
66768,Contesti,9236.229311141933
99539,Todiresti,520.6304836895388
17619,Musatesti,8.241042345276872
107733,Copalnic-Manastur,0.0
124117,Oras Roznov,6104.378619153675
148694,Fratautii Vechi,0.0
140501,Chiesd,3219.0903151421985
132315,Banesti,367.0076214108472
50399,Valcelele,20198.17001338688
25825,Targu Trotus,38.32020997375328
50415,Zarnesti,3125.883766745469
9459,Oras Chisineu-Cris,3633.332345620481
132342,Bertea,0.0
115959,Ceuasu De Campie,22.87633262260128
124153,Sagna,993.7346326836582
148729,Frumosu,180.7737414187643
42236,Vistea,1985.9855920756415
83197,Feliceni,212.58890554722637
156927,Fardea,0.0
58623,Mociu,1167.8992805755395
140547,Cizer,0.872093023255814
25861,Traian,4472.446372239748
165130,Osesti,0.0
99600,Trifesti,3561.8758104738154
9495,Oras Curtici,1693.4550252409363
132379,Boldesti-Gradistea,245.55073280721533
34075,Nuseni,0.0
148765,Fundu Moldovei,9.834320987654321
140583,Coseiu,0.0
66857,Corbii Mari,1262.5904301475146
50479,Ziduri,6675.264964987577
124206,Sabaoani,2264.057721391363
91447,Tomesti,0.0
132404,Brebu,0.0
173374,Stoilesti,0.0
17726,Negrasi,3847.536883243771
9538,Oras Ineu,513.8952092683436
42307,Voila,738.9695431472081
165185,Padureni,26.497420781134856
1348,Municipiul Blaj,791.2508335714966
124233,Secuieni,7913.926896977175
25932,Ungureni,110.20495150587034
157004,Foeni,9777.940066592675
116046,Chetani,1195.9958063286313
140627,Crasna,40.469651889318655
99673,Tibana,0.0
75098,Municipiul Galati,651.1921112241884
107868,Coroieni,0.0
58721,Moldovenesti,1332.2221189591078
157031,Gavojdia,16.850372376438727
9574,Oras Lipova,212.41374166374166
132459,Calugareni,0.0
17771,Nucsoara,0.0
34155,Parva,0.0
75114,Sendreni,1655.5471614755909
50549,Unguriu,138.51324359531046
83320,Municipiul Miercurea Ciuc,281.5902444813672
34173,Petru Rares,0.0
140672,Creaca,16.178224937118216
50564,Florica,11560.928941524797
132486,Carbunesti,0.0
66955,Cornatelu,14652.148667601683
148872,Galanesti,244.39074009119608
91535,Toplita,0.0
75150,Vanatori,1393.663943161634
107920,Cupseni,0.0
165274,Perieni,515.6695118698319
9627,Oras Nadlac,264.9728817795551
132510,Ceptura,417.4634093844167
157086,Oras Gataia,9465.399168719212
42398,Vulcan,4151.631915318554
116126,Chiheru De Jos,224.48405612244898
17824,Oarja,115.95802469135802
58794,Palatca,46.031138790035584
124331,Stanita,0.0
