Siruta,Localitate,CA_Totala
99673,Tibana,0.0
75098,Municipiul Galati,198359629.0
107868,Coroieni,0.0
58721,Moldovenesti,4300413.0
157031,Gavojdia,49776.0
9574,Oras Lipova,2420667.0
132459,Calugareni,0.0
17771,Nucsoara,0.0
34155,Parva,0.0
75114,Sendreni,7494662.0
50549,Unguriu,318996.0
83320,Municipiul Miercurea Ciuc,11863397.0
34173,Petru Rares,0.0
140672,Creaca,45024.0
50564,Florica,15618815.0
132486,Carbunesti,0.0
66955,Cornatelu,20893964.0
148872,Galanesti,696758.0
91535,Toplita,0.0
75150,Vanatori,7846328.0
107920,Cupseni,0.0
165274,Perieni,1933245.0
9627,Oras Nadlac,2120313.0
132510,Ceptura,1939535.0
157086,Oras Gataia,61487233.0
42398,Vulcan,20787221.0
116126,Chiheru De Jos,351991.0
17824,Oarja,328741.0
58794,Palatca,51739.0
124331,Stanita,0.0
26029,Urechesti,71268.0
83375,Pauleni-Ciuc,263133.0
1455,Oras Campeni,0.0
9654,Oras Pancota,12516812.0
148916,Gramesti,0.0
17851,Pietrosani,0.0
34235,Prundu Bargaului,624.0
75203,Municipiul Tecuci,26237052.0
99780,Tibanesti,3951553.0
107975,Desesti,0.0
67014,Cornesti,63640.0
116171,Coroisanmartin,0.0
42449,Sinca Noua,29411.0
75221,Draganesti,3959086.0
34262,Rebra,0.0
42456,Crizbav,53118954.0
9690,Oras Sebis,6073649.0
165336,Poienesti,30351.0
132574,Cerasu,0.0
173533,Stroesti,0.0
42464,Sambata De Sus,239162.0
140770,Cristolt,0.0
26083,Valea Seaca,1018996.0
83428,Oras Baile Tusnad,0.0
34280,Rebrisoara,0.0
42472,Holbav,0.0
58856,Panticeu,0.0
148970,Granicesti,2894672.0
91624,Totesti,301999.0
42480,Dragus,3970661.0
108017,Oras Dragomiresti,0.0
17913,Poienarii De Arges,0.0
124411,Stefan Cel Mare,15832994.0
75258,Munteni,13565018.0
116224,Cozma,0.0
42498,Augustin,0.0
108035,Dumbravita,2299668.0
26118,Vultureni,2363900.0
83464,Oras Balan,0.0
157193,Ghizela,184928.0
9743,Almas,357469.0
140823,Criseni,9594507.0
34333,Rodna,209556.0
173597,Sutesti,20007.0
83491,Oras Borsec,0.0
